,System size,Number of targets,Error (10 steps),Error (20 steps)
46,8.0,2.0,0.5036100857373215,0.49074601011296
47,8.0,2.0,0.6467492489167611,0.5369252311523326
48,8.0,2.0,0.07004980287387796,0.04301328800781863
49,8.0,2.0,0.12066026211784439,0.11539881394644595
50,9.0,2.0,0.3080819661370657,0.2622460289536357
51,9.0,2.0,0.3911609743197385,0.008562424621613636
52,9.0,2.0,,
53,9.0,2.0,,
54,9.0,2.0,0.19945444740783705,0.2609421480356453
55,10.0,2.0,0.3718419589840152,0.25849908382387365
56,10.0,2.0,0.1012455722158228,0.07301355396282817
57,10.0,2.0,,
58,10.0,2.0,0.2894246043269589,0.28377203728313005
59,10.0,2.0,0.22305086907269386,0.21811433001788283
60,11.0,2.0,,
61,11.0,2.0,0.3643029586918516,0.35004097948909774
62,11.0,2.0,0.08321904049933904,0.07812304207467442
63,11.0,2.0,0.7198937161120034,0.7310392035736459
64,11.0,2.0,0.1008175382818414,0.0860168635613349
65,12.0,2.0,0.3779703530273904,0.3482766771961212
66,12.0,2.0,,
67,12.0,2.0,0.3874941955057968,0.40037193925521786
68,12.0,2.0,0.3487197771632663,0.3521905735559401
69,12.0,2.0,0.24818687403372403,0.02063843491052598
70,6.0,3.0,0.040491406876406545,0.03714456945424937
71,6.0,3.0,,
72,6.0,3.0,0.14806491170783645,0.14211149490076744
73,6.0,3.0,0.07764909415541885,0.0608498031350334
74,6.0,3.0,0.8323677824424601,0.8284524759099853
75,7.0,3.0,0.2376786274695795,0.19614192270851497
76,7.0,3.0,,
77,7.0,3.0,0.1328193921356018,0.12996604649467772
78,7.0,3.0,0.19399685795820307,0.06503443197422348
79,7.0,3.0,0.0551890868560995,0.05588162813499616
80,8.0,3.0,0.2479481816878785,1.4032650097476227
81,8.0,3.0,1.7927441878540364,1.3116784642819563
82,8.0,3.0,,
83,8.0,3.0,0.08234778857829768,0.07948935045301132
84,8.0,3.0,,
85,9.0,3.0,,
86,9.0,3.0,0.2907833230247063,0.26274145035859253
87,9.0,3.0,,
88,9.0,3.0,0.08158105339429762,0.07681707241224497
